Name,RA,DEC,DF Source,#bib,#not,Name list,Type list,Redshift Flag,RA list,DEC list,#bib list,#not list,Redshift Flag list,Redshift list
RCS J0224-0002:[SSM2017] D03,36.1405,-0.03921,['N'],,,['RCS J0224-0002:[SSM2017] D03'],['G_Lens'],,[36.1405],[-0.03921],[1.0],[0.0],[nan],[nan]
DES J0014-0057:[OWD2022] 1,3.72879,-0.95102,['N'],,,['DES J0014-0057:[OWD2022] 1'],['G_Lens'],,[3.72879],[-0.95102],[nan],[nan],['PLE '],[0.54]
DES J0032+0100:[OWD2022] 2,8.07151,1.01157,['N'],,,['DES J0032+0100:[OWD2022] 2'],['G_Lens'],,[8.07151],[1.01157],[nan],[nan],[nan],[nan]
DES J0032+0100:[OWD2022] 1,8.07204,1.00909,['N'],,,['DES J0032+0100:[OWD2022] 1'],['G_Lens'],,[8.07204],[1.00909],[nan],[nan],['PLE '],[0.23]
DES J0044-0055:[OWD2022] 2,11.15391,-0.92368,['N'],,,['DES J0044-0055:[OWD2022] 2'],['G_Lens'],,[11.15391],[-0.92368],[nan],[nan],['PLE '],[0.53]
DES J0044-0055:[OWD2022] 1,11.15549,-0.91989,['N'],,,['DES J0044-0055:[OWD2022] 1'],['G_Lens'],,[11.15549],[-0.91989],[nan],[nan],['PLE '],[0.07]
SDSS J015241.01+010020.6,28.17091,1.00572,['N'],,,['SDSS J015241.01+010020.6'],['G_Lens'],,[28.17091],[1.00572],[nan],[nan],['SLS '],[0.2249]
ABELL 0267:[SKS2005] E02a,28.17249,1.00456,['N'],,,['ABELL 0267:[SKS2005] E02a'],['G_Lens'],,[28.17249],[1.00456],[nan],[nan],[nan],[nan]
HeCS J015241.47+010043.0,28.17254,1.01171,['N'],,,['HeCS J015241.47+010043.0'],['G'],,[28.17254],[1.01171],[nan],[nan],['SLS '],[0.224828]
WISEA J015242.83+010054.5,28.17871,1.01526,['N'],,,['WISEA J015242.83+010054.5'],['G_Lens'],,[28.17871],[1.01526],[nan],[nan],['SPEC'],[0.231959]
ABELL 0267:[STE2005] E0,28.18104,1.01069,['N'],,,['ABELL 0267:[STE2005] E0'],['G_Lens'],,[28.18104],[1.01069],[nan],[nan],[nan],[nan]
DES J0158-0040:[OWD2022] 1,29.60248,-0.66672,['N'],,,['DES J0158-0040:[OWD2022] 1'],['G_Lens'],,[29.60248],[-0.66672],[nan],[nan],[nan],[nan]
DES J0158-0040:[OWD2022] 2,29.60315,-0.66769,['N'],,,['DES J0158-0040:[OWD2022] 2'],['G_Lens'],,[29.60315],[-0.66769],[nan],[nan],[nan],[nan]
DES J0206-0114:[OWD2022] 2,31.55546,-1.23847,['N'],,,['DES J0206-0114:[OWD2022] 2'],['G_Lens'],,[31.55546],[-1.23847],[nan],[nan],[nan],[nan]
DES J0206-0114:[OWD2022] 1,31.55657,-1.23846,['N'],,,['DES J0206-0114:[OWD2022] 1'],['G_Lens'],,[31.55657],[-1.23846],[nan],[nan],[nan],[nan]
RCS J0224.5-0002:[STE2005] A3,36.12438,-0.04281,['N'],,,['RCS J0224.5-0002:[STE2005] A3'],['G_Lens'],,[36.12438],[-0.04281],[nan],[nan],[nan],[nan]
RCS J0224.5-0002:[STE2005] R1,36.12575,-0.03953,['N'],,,['RCS J0224.5-0002:[STE2005] R1'],['G_Lens'],,[36.12575],[-0.03953],[nan],[nan],['    '],[1.055]
RCS J0224.5-0002:[STE2005] C,36.12592,-0.0445,['N'],,,['RCS J0224.5-0002:[STE2005] C'],['G_Lens'],,[36.12592],[-0.0445],[nan],[nan],['    '],[4.879]
RCS J0224.5-0002:[STE2005] A2,36.12671,-0.03886,['N'],,,['RCS J0224.5-0002:[STE2005] A2'],['G_Lens'],,[36.12671],[-0.03886],[nan],[nan],[nan],[nan]
RCS J0224.5-0002:[STE2005] A1,36.128,-0.04128,['N'],,,['RCS J0224.5-0002:[STE2005] A1'],['G_Lens'],,[36.128],[-0.04128],[nan],[nan],[nan],[nan]
DES J0249-0048:[DBL2017] 1,42.2988,-0.814,['N'],,,['DES J0249-0048:[DBL2017] 1'],['G_Lens'],,[42.2988],[-0.814],[nan],[nan],[nan],[nan]
CFRS 03.1077 ARC,45.63,0.10058,['N'],,,['CFRS 03.1077 ARC'],['Q_Lens'],,[45.63],[0.10058],[nan],[nan],['    '],[2.941]
SDSS J2111-0115:[OHG2009] B3,317.83521,-1.24158,['N'],,,['SDSS J2111-0115:[OHG2009] B3'],['G_Lens'],,[317.83521],[-1.24158],[nan],[nan],['SPEC'],[2.856]
DES J2113-0114:[DBL2017] 1,318.48397,-1.24061,['N'],,,['DES J2113-0114:[DBL2017] 1'],['G_Lens'],,[318.48397],[-1.24061],[nan],[nan],['PHOT'],[0.31]
DES J2114+0002:[DBL2017] 2,318.60972,0.04947,['N'],,,['DES J2114+0002:[DBL2017] 2'],['G_Lens'],,[318.60972],[0.04947],[nan],[nan],['PHOT'],[0.44]
DES J2114+0002:[DBL2017] 1,318.61018,0.0496,['N'],,,['DES J2114+0002:[DBL2017] 1'],['G_Lens'],,[318.61018],[0.0496],[nan],[nan],['PHOT'],[0.57]
DES J2119+0030:[DBL2017] 1,319.85479,0.50211,['N'],,,['DES J2119+0030:[DBL2017] 1'],['G_Lens'],,[319.85479],[0.50211],[nan],[nan],['PHOT'],[0.12]
DES J2122-0059:[DBL2017] 1,320.7172,-0.9978,['N'],,,['DES J2122-0059:[DBL2017] 1'],['G_Lens'],,[320.7172],[-0.9978],[nan],[nan],[nan],[nan]
RX J2129.7+0005:[ZFM2015]c07.2,322.40774,0.0832,['N'],,,['RX J2129.7+0005:[ZFM2015]c07.2'],['G_Lens'],,[322.40774],[0.0832],[nan],[nan],[nan],[nan]
RX J2129.7+0005:[ZFM2015]c07.1,322.40788,0.08278,['N'],,,['RX J2129.7+0005:[ZFM2015]c07.1'],['G_Lens'],,[322.40788],[0.08278],[nan],[nan],[nan],[nan]
WISEA J212942.90+000629.3,322.4288,0.1081,['N'],,,['WISEA J212942.90+000629.3'],['G'],,[322.4288],[0.1081],[nan],[nan],['SLS '],[0.22766]
MACS J2135-0102:[ZB2016] 8.04,323.79142,-1.04747,['N'],,,['MACS J2135-0102:[ZB2016] 8.04'],['G_Lens'],,[323.79142],[-1.04747],[nan],[nan],['PHOT'],[1.65]
MACS J2135-0102:[ZB2016] 7.04,323.79173,-1.04674,['N'],,,['MACS J2135-0102:[ZB2016] 7.04'],['G_Lens'],,[323.79173],[-1.04674],[nan],[nan],['PHOT'],[1.53]
MACS J2135-0102:[ZB2016] 2.03,323.79183,-1.05518,['N'],,,['MACS J2135-0102:[ZB2016] 2.03'],['G_Lens'],,[323.79183],[-1.05518],[nan],[nan],['SPEC'],[2.319]
MACS J2135-0102:[ZB2016] c6.03,323.79583,-1.04398,['N'],,,['MACS J2135-0102:[ZB2016] c6.03'],['G_Lens'],,[323.79583],[-1.04398],[nan],[nan],['PHOT'],[1.67]
MACS J2135-0102:[ZB2016] 3.03,323.79694,-1.04168,['N'],,,['MACS J2135-0102:[ZB2016] 3.03'],['G_Lens'],,[323.79694],[-1.04168],[nan],[nan],['PHOT'],[1.29]
MACS J2135-0102:[ZB2016] 1.21,323.798,-1.04749,['N'],,,['MACS J2135-0102:[ZB2016] 1.21'],['G_Lens'],,[323.798],[-1.04749],[nan],[nan],[nan],[nan]
MACS J2135-0102:[ZB2016] 2.01,323.79825,-1.05966,['N'],,,['MACS J2135-0102:[ZB2016] 2.01'],['G_Lens'],,[323.79825],[-1.05966],[nan],[nan],['SPEC'],[2.319]
MACS J2135-0102:[ZB2016] 5.02,323.79827,-1.04687,['N'],,,['MACS J2135-0102:[ZB2016] 5.02'],['G_Lens'],,[323.79827],[-1.04687],[nan],[nan],['PHOT'],[1.82]
MACS J2135-0102:[ZB2016] 1.01,323.79881,-1.04822,['N'],,,['MACS J2135-0102:[ZB2016] 1.01'],['G_Lens'],,[323.79881],[-1.04822],[nan],[nan],[nan],[nan]
